"title","genres","price","year"
"Super Mario 64 DS","Action","24.95","2004"
"Lumines: Puzzle Fusion","Strategy","14.95","2004"
"WarioWare Touched!","Action,Racing / Driving,Sports","22.95","2004"
"Hot Shots Golf: Open Tee","Sports","12.95","2004"
"Spider-Man 2","Action","14.95","2004"
"The Urbz: Sims in the City","Simulation","12.95","2004"
"Ridge Racer","Racing / Driving","19.95","2004"
"Metal Gear Ac!d","Strategy","17.95","2004"
"Madden NFL 2005","Sports","8.95","2004"
"Pokmon Dash","Racing / Driving","24.95","2004"
"Dynasty Warriors","Action,Adventure,Role-Playing (RPG)","14.95","2004"
"Feel the Magic XY/XX","Action,Adventure,Racing / Driving,Sports","8.95","2004"
"Ridge Racer DS","Racing / Driving","9.95","2004"
"Darkstalkers Chronicle: The Chaos Tower","Action","14.95","2004"
"Ape Escape Academy","Action,Sports","14.95","2004"
"Polarium","Strategy","8.95","2004"
"Asphalt: Urban GT","Racing / Driving,Simulation","14.95","2004"
"Zoo Keeper","Action","14.95","2004"
"Mr. DRILLER: Drill Spirits","Action","14.95","2004"
"Sprung","Adventure","8.95","2004"
"Armored Core: Formula Front - Extreme Battle","Action,Strategy","16.95","2004"
"Puyo Pop Fever","Action,Strategy","19.95","2004"
"Mario Kart DS","Racing / Driving","29.95","2005"
"Nintendogs","Simulation","26.95","2005"
"Brain Age: Train Your Brain in Minutes a Day!","Action","17.95","2005"
"Brain Agey: More Training in Minutes a Day!","Action","17.95","2005"
"Grand Theft Auto: Liberty City Stories","Action,Racing / Driving","17.95","2005"
"Animal Crossing: Wild World","Simulation","24.95","2005"
"Big Brain Academy","Action","16.95","2005"
"Call of Duty 2","Action","17.95","2005"
"Midnight Club 3: DUB Edition","Racing / Driving","14.95","2005"
"Need for Speed: Most Wanted 5-1-0","Racing / Driving","14.95","2005"
"Pokmon Mystery Dungeon: Blue Rescue Team","Role-Playing (RPG)","14.95","2005"
"Sonic Rush","Action","14.95","2005"
"Star Wars: Battlefront II","Action","16.95","2005"
"SOCOM: U.S. Navy SEALs - Fireteam Bravo","Action","14.95","2005"
"Need for Speed: Most Wanted","Racing / Driving","17.95","2005"
"Zoo Tycoon DS","Simulation,Strategy","12.95","2005"
"The Sims 2","Role-Playing (RPG),Simulation","17.95","2005"
"Mario & Luigi: Partners in Time","Action,Role-Playing (RPG)","29.95","2005"
"Madden NFL 06","Sports","7.95","2005"
"Need for Speed Underground: Rivals","Racing / Driving","17.95","2005"
"Twisted Metal: Head-On","Action,Racing / Driving","14.95","2005"
"Perfect Dark Zero","Action","17.95","2005"
"Super Monkey Ball: Touch & Roll","Action","15.95","2005"
"Super Princess Peach","Action","29.95","2005"
"Burnout Legends","Action,Racing / Driving","14.95","2005"
"Madden NFL 06","Sports","4.95","2005"
"Clubhouse Games","Strategy","17.95","2005"
"ATV Offroad Fury: Blazin' Trails","Racing / Driving,Sports","12.95","2005"
"Untold Legends: Brotherhood of the Blade","Action,Role-Playing (RPG)","12.95","2005"
"Tony Hawk's Underground 2: Remix","Sports","14.95","2005"
"The Sims 2","Simulation,Strategy","14.95","2005"
"WipEout Pure","Action,Racing / Driving","12.95","2005"
"NBA Live 06","Sports","9.95","2005"
"WWE Smackdown vs. Raw 2006","Action,Sports","14.95","2005"
"Dead or Alive 4","Action","17.95","2005"
"Phoenix Wright: Ace Attorney","Adventure,Simulation","24.95","2005"
"Spider-Man 2","Action","14.95","2005"
"NFL Street 2","Sports","17.95","2005"
"Kirby: Canvas Curse","Action","17.95","2005"
"Battlefield 2: Modern Combat","Action","16.95","2005"
"Yoshi Touch & Go","Action","17.95","2005"
"Tiger Woods PGA Tour 06","Sports","9.95","2005"
"Condemned: Criminal Origins","Action,Adventure","14.95","2005"
"Peter Jackson's King Kong: The Official Game of...","Action","14.95","2005"
"Castlevania: Dawn of Sorrow","Action,Role-Playing (RPG)","17.95","2005"
"SpongeBob SquarePants: The Yellow Avenger","Action","13.95","2005"
"Marvel Nemesis: Rise of the Imperfects ","Action","17.95","2005"
"Kameo: Elements of Power","Action","11.95","2005"
"Advance Wars: Dual Strike","Strategy","17.95","2005"
"Trauma Center: Under the Knife","Action,Simulation","15.95","2005"
"Coded Arms","Action","12.95","2005"
"NBA LIVE 06 ","Sports","4.95","2005"
"Tony Hawk's American Wasteland","Sports","14.95","2005"
"Star Wars: Episode III - Revenge of the Sith","Action","16.95","2005"
"Capcom Classics Collection Remixed","Action","17.95","2005"
"Madagascar","Adventure","14.95","2005"
"X-Men: Legends II - Rise of Apocalypse","Action,Role-Playing (RPG)","17.95","2005"
"Quake 4","Action","14.95","2005"
"Pokmon Trozei!","Strategy","19.95","2005"
"Need for Speed: Most Wanted","Racing / Driving","15.95","2005"
"Mega Man Maverick Hunter X","Action","17.95","2005"
"Metroid Prime Pinball","Action,Simulation","17.95","2005"
"NBA 06","Sports","9.95","2005"
"GUN ","Action,Racing / Driving,Role-Playing (RPG)","19.95","2005"
"NBA 2K6 ","Sports","4.95","2005"
"Pinball Hall of Fame: The Gottlieb Collection","Action","9.95","2005"
"Harry Potter and the Goblet of Fire","Action","17.95","2005"
"Tony Hawk's American Sk8land","Sports","16.95","2005"
"MVP Baseball","Sports","4.95","2005"
"Tiger Woods PGA Tour","Sports","17.95","2005"
"World Series of Poker","Sports,Strategy","14.95","2005"
"SSX on Tour","Sports","16.95","2005"
"Tiger Woods PGA Tour 06","Sports","9.95","2005"
"Death Jr.","Action","9.95","2005"
"Harry Potter and the Goblet of Fire","Action","17.95","2005"
"MediEvil Resurrection","Action","17.95","2005"
"The Chronicles of Narnia: The Lion, the Witch a...","Action,Role-Playing (RPG)","12.95","2005"
"Shrek SuperSlam","Action","11.95","2005"
"Virtua Tennis: World Tour","Sports","14.95","2005"
"Prince of Persia: Revelations","Action","6.95","2005"
"Burnout Legends","Action,Racing / Driving","17.95","2005"
"Meteos","Strategy","15.95","2005"
"Spyro: Shadow Legacy","Role-Playing (RPG)","17.95","2005"
"The Con","Action","8.95","2005"
"Infected","Action","17.95","2005"
"Pursuit Force","Action,Racing / Driving","14.95","2005"
"Kingdom of Paradise","Action,Role-Playing (RPG)","12.95","2005"
"Dragon Ball Z: Supersonic Warriors 2","Action","22.95","2005"
"Dragon Quest Heroes: Rocket Slime","Action","12.95","2005"
"Dead to Rights: Reckoning","Action","14.95","2005"
"Amped 3","Sports","14.95","2005"
"Break 'em All","Action","17.95","2005"
"Lunar: Dragon Song","Role-Playing (RPG)","14.95","2005"
"Madden NFL 06","Sports","9.95","2005"
"Retro Atari Classics","Action,Racing / Driving,Simulation","12.95","2005"
"True Swing Golf","Sports","14.95","2005"
"FIFA Soccer","Sports","14.95","2005"
"Metal Gear Ac!d 2","Strategy","12.95","2005"
"ATV Quad Frenzy","Racing / Driving,Sports","14.95","2005"
"Bomberman","Strategy","17.95","2005"
"GoldenEye: Rogue Agent","Action","14.95","2005"
"Need for Speed Underground 2","Racing / Driving","22.95","2005"
"Frogger: Helmet Chaos","Action","19.95","2005"
"The Lord of the Rings: Tactics","Role-Playing (RPG),Strategy","19.95","2005"
"Rengoku: The Tower of Purgatory","Action,Role-Playing (RPG)","12.95","2005"
"Gretzky NHL","Sports","9.95","2005"
"Ridge Racer 6","Racing / Driving","14.95","2005"
"Ford Racing 3","Action,Racing / Driving","14.95","2005"
"NHL 2K6 ","Sports","5.95","2005"
"Bust-a-Move DS","Action,Strategy","17.95","2005"
"Battles of Prince of Persia","Strategy","14.95","2005"
"GripShift","Racing / Driving","9.95","2005"
"Marvel Nemesis: Rise of the Imperfects ","Action","14.95","2005"
"Scooby-Doo! Unmasked","Action","17.95","2005"
"Viewtiful Joe: Double Trouble!","Action","14.95","2005"
"The Legend of Heroes: A Tear of Vermillion","Role-Playing (RPG)","17.95","2005"
"PQ: Practical Intelligence Quotient","Strategy","14.95","2005"
"Lost in Blue","Role-Playing (RPG)","24.95","2005"
"Ghost in the Shell: Stand Alone Complex","Action","14.95","2005"
